"Sottosistema","Unita","Riferimenti","Classificazione","CandidatiTrovati","PercorsiCandidati","PercorsoEsplicitoEsempio"
"CanaliAria","gltexture","2","Ambigua: piu copie omonime","3","C:\DOCUMENTI\sd\sorgenti\bm-sd\GLScene\Source\GLTexture.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Source\GLTexture.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Source\GLTexture.pas",
"CanaliAria","GLWin32Viewer","2","Ambigua: piu copie omonime","3","C:\DOCUMENTI\sd\sorgenti\bm-sd\GLScene\Source\Platform\GLWin32Viewer.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene 1.1 marzo 2011\Source\Platform\GLWin32Viewer.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\glscene2007\Source\Platform\GLWin32Viewer.pas",
"CanaliAria","gruti","17","Ambigua: piu copie omonime","3","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\grafo\GTUBI\GRUTI.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\grafo\GTUBI\GRUTI.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\grafo\GTUBI\GRUTI.PAS",
"CanaliAria","halotp4","34","Ambigua: piu copie omonime","3","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\oldTubi\grafo\GTUBI\HALOTP4.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\oldTubi\grafo\GTUBI\HALOTP4.PAS | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\oldTubi\grafo\GTUBI\HALOTP4.PAS",
"CanaliAria","InitPunt_Tubi","1","Ambigua: piu copie omonime","4","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\Tubi\InitPunt_Tubi.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\Tubi\InitPunt_Tubi.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\Tubi\InitPunt_Tubi.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\Tubi\InitPunt_Tubi.pas",
"CanaliAria","interf3d","1","Ambigua: piu copie omonime","2","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\interf3d.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\INTERF3D.PAS",
"CanaliAria","kbmMemCSVStreamFormat","1","Ambigua: piu copie omonime","4","C:\DOCUMENTI\bmsistemi\drivep\Comp\Source\Vari\Copia di KbmMemTab\kbmMemCSVStreamFormat.pas | C:\DOCUMENTI\bmsistemi\drivep\Comp\Source\Vari\KbmMemTab\kbmMemCSVStreamFormat.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\Comp\Source\Vari\Copia di KbmMemTab\kbmMemCSVStreamFormat.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\Comp\Source\Vari\KbmMemTab\kbmMemCSVStreamFormat.pas",
"CanaliAria","kbmMemTable","1","Ambigua: piu copie omonime","4","C:\DOCUMENTI\bmsistemi\drivep\Comp\Source\Vari\Copia di KbmMemTab\kbmMemTable.pas | C:\DOCUMENTI\bmsistemi\drivep\Comp\Source\Vari\KbmMemTab\kbmMemTable.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\Comp\Source\Vari\Copia di KbmMemTab\kbmMemTable.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\Comp\Source\Vari\KbmMemTab\kbmMemTable.pas",
"CanaliAria","key","8","Ambigua: piu copie omonime","2","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\key.pas | C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\KEY.PAS",
"CanaliAria","libreriagenerale","2","Ambigua: piu copie omonime","5","C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10\comuni\LibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivep\prjs\cpi win clima\Versione_10 allineamento con emanuela\comuni\LibreriaGenerale.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10\comuni\libreriagenerale.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 nuova\comuni\libreriagenerale.pas | C:\DOCUMENTI\bmsistemi\drivepsviluppo\prjs\cpi win clima\versione_10 ripristinata\comuni\libreriagenerale.pas",
