"Sottosistema","Sorgente","Unita","PercorsoEsplicito"
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\UVPEZZI.PAS","DBCtrls",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\DFM\INGLESE\MAINEDIT.PAS","DBGrids",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\MAINEDIT.PAS","DBGrids",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\UVPEZZI.PAS","DBGrids",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\UVPEZZI.PAS","DBLookup",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\DATIDUCT.PAS","def_win",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\Genproccan.pas","def_win",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\DISEG.PAS","def_win",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\GENPROC.PAS","def_win",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\LOAD_P.PAS","def_win",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\MINICALC.PAS","def_win",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\VERIFICA.PAS","def_win",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\VSEZ.PAS","def_win",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\W_ICART.PAS","def_win",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\W_INPUTC.PAS","def_win",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\MAIN_W.PAS","def_win",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\UTILS\PRNTESTO.PAS","def_win",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\ANGOLI.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\ARCPEZZI.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\CalcoloCanali.pas","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\DATIDUCT.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\definizcan.pas","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\dimens.pas","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\FUNZBASE.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\funzdim.pas","Definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\FUNZOVER.PAS","Definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\GENPROC.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\Genproccan.pas","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\GESTDUCT.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\GLOBFUNZ.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\GLOBFUNZcan.pas","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\init_cca.pas","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\ANGOLI.PAS","Definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\BLOCCO.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\CERCHIO.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\CIPZOOM.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\DAVGLOB.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\DAVINPUT.PAS","definiz",
"CanaliAria","C:\DOCUMENTI\sd\sorgenti\bm-sd\CANALI\INPGRAF\DAVRIDIS.PAS","definiz",
